#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
111,Adonis Garcia,611177,611177,,ATL,3B,3B
112,Adonis Giron,677589,677589,sa3005719,HOU,OF,OF
113,Adonis Medina,658431,658431,19903,NYM,SP,SP
114,Adonis Rosa,650738,650738,17942,FA,RP,RP
115,Adonis Uceta,642637,642637,sa737486,FA,RP,RP
116,Adony Mejia,684093,684093,sa3008924,PHI,C,C
117,Adrian Alcantara,674220,674220,sa974592,KC,SP,SP
118,Adrian Chaidez,686585,686585,sa3017417,HOU,SP,SP
119,Adrian De Horta,641506,641506,sa737857,TB,SP,SP
120,Adrian Del Castillo,680728,680728,sa3016957,ARI,C,C
121,Adrian Florencio,684876,684876,sa3010569,PIT,SP,SP
122,Adrian Hernandez,681753,681753,sa3006177,TOR,RP,RP
123,Adrian Houser,605288,12718,12718,MIL,SP,SP
124,Adrian Martinez,661309,661309,21023,OAK,SP,SP
125,Adrian Morejon,670970,670970,20039,SD,RP,RP
126,Adrian Perez,692023,692023,sa3016106,SD,3B,3B
127,Adrian Pinto,691437,691437,sa3015542,TOR,2B,2B
128,Adrian Placencia,691269,691269,sa3014688,LAA,SS,SS
129,Adrian Rondon,660632,660632,sa877519,FA,SS,SS
130,Adrian Sampson,592716,13339,13339,CHC,SP,SP
131,Adrian Sanchez,506703,506703,11338,WSH,2b,2b
132,Adrian Sugastey,692368,692368,sa3015190,SF,C,C
133,Adriel Sotolongo,699084,699084,sa3015296,TOR,3B,3B
134,Aeverson Arteaga,692348,692348,sa3014707,SF,SS,SS
135,Agustin Ruiz,672361,672361,sa3004149,SD,OF,OF
136,Ahbram Liendo,699157,699157,sa3016173,BOS,2B,2B
137,Aidan Anderson,689379,689379,sa3011250,PHI,RP,RP
138,Aiden McIntyre,681942,681942,sa3007733,OAK,RP,RP
139,Aiverson Rodriguez,682864,682864,sa3008824,COL,SS,SS
140,AJ Graffanino,664690,664690,sa3008030,BAL,SS,SS
141,AJ Pollock,572041,9256,9256,CHW,OF,OF
142,Akeem Bostick,641384,641384,15979,FA,SP,SP
143,Akil Baddoo,668731,668731,22168,DET,OF,OF
144,Alan Marrero,669909,669909,sa918102,FA,C,C
145,Alan Mejia,683013,683013,sa3008420,NYY,OF,OF
146,Alan Rangel,660604,660604,sa877578,ATL,SP,SP
147,Alan Trejo,676701,676701,20056,COL,2B,2B/SS
148,Alaska Abney,685095,685095,sa3017308,CLE,RP,RP
149,Alberis Ferrer,678910,678910,sa3005584,MIL,SS,SS
150,Albert Abreu,656061,656061,17485,KC,RP,RP
151,Albert Almora Jr.,546991,14109,14109,CIN,OF,OF
152,Albert Avila,678909,678909,sa3006204,FA,OF,OF
153,Albert Fabian,683546,683546,sa3008888,SD,OF,OF
154,Albert Jerez,680858,680858,sa3008378,PHI,SS,SS
155,Albert Lee,663529,663529,sa3010146,HOU,SS,SS
156,Albert Pujols,405395,1177,1177,STL,1B,1B
157,Albert Rodriguez,693814,693814,sa3015687,PHI,OF,OF
158,Alberti Chavez,622482,622482,sa657456,FA,SS,SS
159,Alberto Baldonado,593604,593604,11812,WSH,RP,RP
160,Alberto Bernal,682866,682866,sa3008825,FA,1B,1B
161,Alberto Ciprian,691607,691607,sa3015567,ARI,3B,3B
162,Alberto Figuereo,678902,678902,sa3005583,TB,2B,2B
163,Alberto Mineo,600931,600931,sa660295,FA,C,C
164,Alberto Rodriguez,679754,679754,sa3005603,SEA,OF,OF
165,Alberto Triunfel,600982,600982,sa597103,FA,SS,SS
166,Alcides Escobar,444876,6310,6310,WSH,SS,2B/SS
167,Aldenis Sanchez,672479,672479,sa3003222,NYY,OF,OF
168,Aldo Ramirez,680048,680048,sa3005371,WSH,SP,SP
169,Aldrem Corredor,625506,625506,sa736852,PHI,OF,OF
170,Aldrich De Jongh,680884,680884,sa3007974,LAD,OF,OF
171,Aldrin Lucas,691492,691492,sa3015554,KC,C,C
172,Aldry Acosta,672755,672755,sa3002794,LAD,RP,RP
173,Alec Bettinger,676424,676424,20312,MIL,SP,SP
174,Alec Bohm,664761,664761,21618,PHI,3B,3B
175,Alec Burleson,676475,676475,sa3014466,STL,OF,OF
176,Alec Gipson-Long,687830,687830,sa3011536,MIN,SP,SP
177,Alec Kisena,663988,663988,sa875686,NYM,SP,SP
178,Alec Marsh,679525,679525,sa1159950,KC,SP,SP
179,Alec Mills,621219,13834,13834,CHC,SP,SP
180,Alec Willis,701650,701650,,STL,P,P
181,Alec Wisely,685070,685070,sa3010305,CLE,RP,RP
182,Aledmys Diaz,649557,15937,15937,HOU,2B/3B,1B/2B/ SS/3B/OF
183,Alejandro Hidalgo,691576,691576,sa3015151,LAA,SP,SP
184,Alejandro Kirk,672386,672386,22581,TOR,C,C
185,Alejandro Melean,678287,678287,sa3006815,TOR,SP,SP
186,Alejandro Requena,650518,650518,sa828724,FA,SP,SP
187,Alejandro Salazar,650362,650362,sa827937,FA,SS,SS
188,Alejo Lopez,664670,664670,21127,CIN,2B,2B
189,Alek Jacob,689690,689690,sa3017100,SD,RP,RP
190,Alek Manoah,666201,666201,26410,TOR,SP,SP
191,Alek Thomas,677950,677950,23792,ARI,OF,OF
192,Alen Hanson,593700,12926,12926,FA,2B,2B/OF
193,Alerick Soularie,669442,669442,sa3014436,MIN,2B,2B
194,Alex Avila,488671,7476,7476,FA,C,C
195,Alex Binelas,681323,681323,sa3017044,BOS,3B,3B
196,Alex Blandino,607468,16271,16271,SEA,1B,1B
